5 to 7,R,some sexual material,100,2014,,82
Baby's Day Out,PG,mild language and comic action,60,1994,71,80
Blow,R,"pervasive drug content and language-some violence and sexuality",100,2001,78,80
Cats & Dogs,PG,animal action and humor,60,2001,,82
Coraline,PG,"thematic elements-scary images-some language and suggestive humor",60,2009,95,80
Corpse Bride,PG,"some scary images and action-and brief mild language",60,2005,91,80
Delhi Safari,PG,"violence and menacing action-rude humor-suggestive content and thematic elements",60,2012,,82
Dope,R,"language-drug content-sexuality/nudity-and some violence-all involving teens",100,2015,79,80
Ernest & Celestine,PG,some scary moments,60,2012,,82
Finding Dory,PG,mild thematic elements,60,2016,98,80
Flicka 2,PG,some reckless behavior,60,2010,,82
Flubber,PG,slapstick action and mild language,60,1997,83,80
Goosebumps,PG,"scary and intense creature action and images-and for some rude humor",60,2015,90,80
Growing Up Wild,G,,35,2016,80,80
Heavyweights,PG,some rude language and pranks,60,1995,74,80
Home,PG,mild action and some rude humor,60,2015,94,80
How to Lose a Guy in 10 Days,PG-13,some sex-related material,80,2003,56,80
Hyena Road,R,"bloody war violence-language throughout and some sexual material",100,2015,,82
Jack and the Cuckoo-Clock Heart,PG,"scary images, suggestive material-some language and smoking",60,2013,,82
Jack and the Cuckoo-Clock Heart,PG,"scary images-suggestive material-some language and smoking",60,2013,,82
Kevin Hart: What Now?,R,"some sexual material-and language throughout",100,2016,97,80
Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92,80
Kung Fu Panda,PG,sequences of martial arts action,60,2008,91,80
Lilo & Stitch,PG,mild sci-fi action,60,2002,95,80
London Has Fallen,R,strong violence and language throughout,100,2016,96,80
Lucky Number Slevin,R,"strong violence-sexual content and adult language",100,2006,,82
Open Season: Scared Silly,PG,rude humor and some action,60,2015,72,80
Paddington,PG,mild action and rude humor,60,2014,70,80
Pete's Dragon,PG,"for action-peril and brief language",60,2016,93,80
Quackerz,PG,"rude and suggestive humor-and some action",60,2016,,82
Queen of Katwe,PG,"thematic elements-an accident scene and some suggestive material",60,2016,,81
Ratchet and Clank,PG,action and some rude humor,60,2016,74,80
Ribbit,PG,some peril,60,2014,,82
Safe Haven,PG-13,"thematic material involving threatening behavior-and for violence and sexuality",80,2013,62,80
Sausage Party,R,"strong crude sexual content-pervasive language-and drug use",100,2016,91,80
Scooby-Doo,PG,"some rude humor-language and some scary action",60,2002,86,80
Spy Kids 3: Game Over,PG,action sequences and peril,60,2003,64,80
Step Up,PG-13,"thematic elements-brief violence and innuendo",80,2006,64,80
title,rating,ratingdescription,ratinglevel,release_year,user_rating_score,user_rating_size
Unconditional,PG-13,some violent content and mature thematic elements,80,2012,,82
White Chicks,PG-13,"crude and sexual humor-language and some drug content",80,2004,82,80
Zootopia,PG,"some thematic elements-rude humor and action",60,2016,97,80
